Rank,University,Wins
1,Universität Stuttgart,7
2,TU Delft,6
3,Westsächsische Hochschule Zwickau,5
4,Fachhochschule München,4
5,Technische Universität Dresden,4
6,University of Seville,4
7,Aristotle University of Thessaloniki,3
8,Czech Technical University in Prague,3
9,Karlsruhe Institute of Technology,3
10,University of the Basque Country,3
11,ETH Zürich,2
12,Fachhochschule Joanneum Graz,2
13,Politecnico di Milano,2
14,Rheinisch-Westfälische Technische Hochschule Aachen,2
15,Technische Universität Wien,2
16,University of Manitoba,2
17,University of Pennsylvania,2
18,Brno University of Technology,1
19,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1
20,GFR DHBW Ravensburg &amp; Oregon State University,1
21,Hochschule RheinMain,1
22,Indian Institute of Technology Bombay,1
23,Monash University,1
24,Nagoya University,1
25,National Technical University of Athens,1
26,Politecnico di Torino,1
27,Ryerson University,1
28,Technische Universität Chemnitz,1
29,Technische Universität Darmstadt,1
30,Universidade de Lisboa - Instituto Superior Técnico,1
31,University of Adelaide,1
32,University of Auckland,1
33,University of Canterbury,1
34,University of Nottingham,1
35,University of Queensland,1
36,École Polytechnique Fédérale de Lausanne,1
