Acceleration - Average Points,486th,15.71,
Acceleration - Best Result,518th,21st,x1
Acceleration - Total,313th,298.41,
AutoX - Average Points,477th,19.86,
AutoX - Best Result,387th,11th,x1
AutoX - Total,316th,377.39,
Business Presentation - Average Points,443rd,43.52,
Business Presentation - Best Result,485th,13th,x1
Business Presentation - Total,182nd,826.88,
Cost - Average Points,388th,55.95,
Cost - Best Result,556th,17th,x1
Cost - Total,175th,1063.14,
Endurance - Average Points,567th,7.01,
Endurance - Best Result,634th,42nd,x1
Endurance - Total,492nd,133.1,
Engineering Design - Average Points,589th,53.95,
Engineering Design - Best Result,613th,24th,x1
Engineering Design - Total,275th,1025.0,
Fuel - Average Points,392nd,8.31,
Fuel - Best Result,107th,2nd,x1
Fuel - Total,291st,157.9,
Points - Average Points,510th,210.79,
Points - Total,284th,4005,
Skidpad - Average Points,444th,9.07,
Skidpad - Best Result,426th,15th,x1
Skidpad - Total,287th,172.34,
