Acceleration - Average Points,2nd,1.17,
Acceleration - Best Result,2nd,19th,x1
Acceleration - Total,2nd,3.5,
AutoX - Average Points,2nd,4.0,
AutoX - Best Result,2nd,13th,x1
AutoX - Total,2nd,12.0,
Business Presentation - Average Points,4th,32.54,
Business Presentation - Best Result,5th,20th,x1
Business Presentation - Total,5th,97.61,
Cost - Average Points,6th,37.06,
Cost - Best Result,4th,20th,x1
Cost - Total,5th,111.18,
Engineering Design - Average Points,3rd,60.83,
Engineering Design - Best Result,4th,22nd,x1
Engineering Design - Total,3rd,182.5,
Points - Average Points,5th,119.0,
Points - Total,5th,357,
